Line    Token Type               Lexeme
----------------------------------------
Line   8: KEYWORD_START             --> start
Line   8: LEFT_PAREN                --> (
Line   8: RIGHT_PAREN               --> )
Line   8: KEYWORD_BEGIN             --> begin
Line   9: KEYWORD_NUM               --> num
Line   9: IDENTIFIER                --> x
Line   9: ASSIGN_OP                 --> =
Line   9: INTEGER_LITERAL           --> 10
Line  10: KEYWORD_DEC               --> dec
Line  10: IDENTIFIER                --> y
Line  10: ASSIGN_OP                 --> =
Line  10: FLOAT_LITERAL             --> 2.5
Line  11: KEYWORD_CHAR              --> char
Line  11: IDENTIFIER                --> c
Line  11: ASSIGN_OP                 --> =
Line  11: CHAR_LITERAL              --> 'A'
Line  13: KEYWORD_SHOW              --> show
Line  13: LEFT_PAREN                --> (
Line  13: STRING_LITERAL            --> "Start"
Line  13: RIGHT_PAREN               --> )
Line  15: KEYWORD_CHECK             --> check
Line  15: LEFT_PAREN                --> (
Line  15: IDENTIFIER                --> x
Line  15: GREATER_THAN              --> >
Line  15: INTEGER_LITERAL           --> 0
Line  15: LOGICAL_AND               --> and
Line  15: IDENTIFIER                --> y
Line  15: GREATER_THAN              --> >
Line  15: INTEGER_LITERAL           --> 0
Line  15: RIGHT_PAREN               --> )
Line  15: KEYWORD_BEGIN             --> begin
Line  16: KEYWORD_SHOW              --> show
Line  16: LEFT_PAREN                --> (
Line  16: STRING_LITERAL            --> "Both positive"
Line  16: RIGHT_PAREN               --> )
Line  17: KEYWORD_END               --> end
Line  19: IDENTIFIER                --> x
Line  19: ASSIGN_OP                 --> =
Line  19: MATH_POWER                --> power
Line  19: LEFT_PAREN                --> (
Line  19: INTEGER_LITERAL           --> 2
Line  19: COMMA                     --> ,
Line  19: INTEGER_LITERAL           --> 3
Line  19: RIGHT_PAREN               --> )
Line  20: KEYWORD_SHOW              --> show
Line  20: LEFT_PAREN                --> (
Line  20: IDENTIFIER                --> x
Line  20: RIGHT_PAREN               --> )
Line  22: KEYWORD_NUM               --> num
Line  22: IDENTIFIER                --> i
Line  22: ASSIGN_OP                 --> =
Line  22: INTEGER_LITERAL           --> 0
Line  23: KEYWORD_DURING            --> during
Line  23: LEFT_PAREN                --> (
Line  23: IDENTIFIER                --> i
Line  23: LESS_THAN                 --> <
Line  23: INTEGER_LITERAL           --> 3
Line  23: RIGHT_PAREN               --> )
Line  23: KEYWORD_BEGIN             --> begin
Line  24: KEYWORD_SHOW              --> show
Line  24: LEFT_PAREN                --> (
Line  24: IDENTIFIER                --> i
Line  24: RIGHT_PAREN               --> )
Line  25: IDENTIFIER                --> i
Line  25: ASSIGN_OP                 --> =
Line  25: IDENTIFIER                --> i
Line  25: PLUS_OP                   --> +
Line  25: INTEGER_LITERAL           --> 1
Line  26: KEYWORD_END               --> end
Line  28: KEYWORD_CHECK             --> check
Line  28: LEFT_PAREN                --> (
Line  28: LOGICAL_NOT               --> not
Line  28: IDENTIFIER                --> x
Line  28: RELATIONAL_EQUALS         --> equals
Line  28: INTEGER_LITERAL           --> 0
Line  28: RIGHT_PAREN               --> )
Line  28: KEYWORD_BEGIN             --> begin
Line  29: KEYWORD_SHOW              --> show
Line  29: LEFT_PAREN                --> (
Line  29: STRING_LITERAL            --> "Done"
Line  29: RIGHT_PAREN               --> )
Line  30: KEYWORD_END               --> end
Line  32: KEYWORD_SEND              --> send
Line  32: INTEGER_LITERAL           --> 0
Line  33: KEYWORD_END               --> end

Total tokens: 85, Lines: 34
